Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Canyon Lake (Mormon Flat Dam),95,"1,657.54","55,064",2.96,"2,788",-63,0.00,2019-06-24,106,80 ,39,8
Saguaro Lake (Stewart Mountain Dam),95,"1,526.07","66,121",2.93,"3,644",-792,0.00,2019-06-24,106,80 ,39,8
Total Salt system,80,,"1,596,954",,"407,333",-873,,2019-06-24,106,80 ,39,8
Horseshoe Lake (Horseshoe Dam),14,"1,977.44","15,779",48.56,"93,438","-1,226",0.00,2019-06-24,106,80 ,39,8
Bartlett Lake (Bartlett Dam),98,"1,796.57","174,188",1.43,"3,998",-334,0.00,2019-06-24,106,80 ,39,8
Total Verde system,66,,"189,967",,"97,436","-1,560",,2019-06-24,106,80 ,39,8
Total Reservoir System,78,,"1,786,921",,"504,769","-2,433",,2019-06-24,106,80 ,39,8
Total system year ago,53,,,,,,,2019-06-24,106,80 ,39,8
Roosevelt Lake (Roosevelt Dam),77,"2,131.51","1,250,097",19.49,"381,435",0,0.00,2019-06-25,106,80 ,23,5
Apache Lake (Horse Mesa Dam),92,"1,906.64","225,995",7.36,"19,143",323,0.00,2019-06-25,106,80 ,23,5
Canyon Lake (Mormon Flat Dam),96,"1,657.91","55,410",2.59,"2,442",346,0.00,2019-06-25,106,80 ,23,5
Saguaro Lake (Stewart Mountain Dam),93,"1,524.98","64,798",4.02,"4,967","-1,323",0.00,2019-06-25,106,80 ,23,5
Total Salt system,80,,"1,596,300",,"407,987",-654,,2019-06-25,106,80 ,23,5
Horseshoe Lake (Horseshoe Dam),13,"1,976.36","14,549",49.64,"94,668","-1,230",0.00,2019-06-25,106,80 ,23,5
Bartlett Lake (Bartlett Dam),98,"1,796.47","173,901",1.53,"4,285",-287,0.00,2019-06-25,106,80 ,23,5
Total Verde system,66,,"188,450",,"98,953","-1,517",,2019-06-25,106,80 ,23,5
Total Reservoir System,78,,"1,784,750",,"506,940","-2,171",,2019-06-25,106,80 ,23,5
Total system year ago,53,,,,,,,2019-06-25,106,80 ,23,5
Roosevelt Lake (Roosevelt Dam),77,"2,131.50","1,249,916",19.50,"381,616",-181,0.00,2019-06-26,106,81 ,21,7
Apache Lake (Horse Mesa Dam),92,"1,906.23","224,967",7.77,"20,171","-1,028",0.00,2019-06-26,106,81 ,21,7
Canyon Lake (Mormon Flat Dam),96,"1,658.01","55,504",2.49,"2,348",94,0.00,2019-06-26,106,81 ,21,7
Saguaro Lake (Stewart Mountain Dam),93,"1,524.77","64,543",4.23,"5,222",-255,0.00,2019-06-26,106,81 ,21,7
Total Salt system,80,,"1,594,930",,"409,357","-1,370",,2019-06-26,106,81 ,21,7
Horseshoe Lake (Horseshoe Dam),12,"1,975.24","13,324",50.76,"95,893","-1,225",0.00,2019-06-26,106,81 ,21,7
Bartlett Lake (Bartlett Dam),97,"1,796.40","173,725",1.60,"4,461",-176,0.00,2019-06-26,106,81 ,21,7
Total Verde system,65,,"187,049",,"100,354","-1,401",,2019-06-26,106,81 ,21,7
Total Reservoir System,78,,"1,781,979",,"509,711","-2,771",,2019-06-26,106,81 ,21,7
Total system year ago,53,,,,,,,2019-06-26,106,81 ,21,7
Roosevelt Lake (Roosevelt Dam),77,"2,131.45","1,248,985",19.55,"382,547",-931,0.00,2019-06-27,106,81 ,23,11
Apache Lake (Horse Mesa Dam),92,"1,906.22","224,929",7.78,"20,209",-38,0.00,2019-06-27,106,81 ,23,11
Canyon Lake (Mormon Flat Dam),94,"1,657.02","54,581",3.48,"3,271",-923,0.00,2019-06-27,106,81 ,23,11
Saguaro Lake (Stewart Mountain Dam),93,"1,524.78","64,552",4.22,"5,213",9,0.00,2019-06-27,106,81 ,23,11
Total Salt system,79,,"1,593,047",,"411,240","-1,883",,2019-06-27,106,81 ,23,11
Horseshoe Lake (Horseshoe Dam),11,"1,974.21","12,231",51.79,"96,986","-1,093",0.00,2019-06-27,106,81 ,23,11
Bartlett Lake (Bartlett Dam),97,"1,796.28","173,384",1.72,"4,802",-341,0.00,2019-06-27,106,81 ,23,11
Total Verde system,65,,"185,615",,"101,788","-1,434",,2019-06-27,106,81 ,23,11
Total Reservoir System,78,,"1,778,662",,"513,028","-3,317",,2019-06-27,106,81 ,23,11
Total system year ago,53,,,,,,,2019-06-27,106,81 ,23,11
Roosevelt Lake (Roosevelt Dam),76,"2,131.34","1,247,034",19.66,"384,498","-1,951",0.00,2019-06-28,106,81 ,24,5
Apache Lake (Horse Mesa Dam),92,"1,906.11","224,663",7.89,"20,475",-266,0.00,2019-06-28,106,81 ,24,5
Canyon Lake (Mormon Flat Dam),95,"1,657.53","55,055",2.97,"2,797",474,0.00,2019-06-28,106,81 ,24,5
Saguaro Lake (Stewart Mountain Dam),93,"1,525.31","65,187",3.69,"4,578",635,0.00,2019-06-28,106,81 ,24,5
Total Salt system,79,,"1,591,939",,"412,348","-1,108",,2019-06-28,106,81 ,24,5
Horseshoe Lake (Horseshoe Dam),11,"1,974.10","12,118",51.90,"97,099",-113,0.00,2019-06-28,106,81 ,24,5
Bartlett Lake (Bartlett Dam),97,"1,795.93","172,410",2.07,"5,776",-974,0.00,2019-06-28,106,81 ,24,5
Total Verde system,64,,"184,528",,"102,875","-1,087",,2019-06-28,106,81 ,24,5
Total Reservoir System,78,,"1,776,467",,"515,223","-2,195",,2019-06-28,106,81 ,24,5
Total system year ago,53,,,,,,,2019-06-28,106,81 ,24,5
Roosevelt Lake (Roosevelt Dam),76,"2,131.19","1,244,297",19.81,"387,235","-2,737",0.00,2019-06-29,107,81 ,21,5
Apache Lake (Horse Mesa Dam),92,"1,906.74","226,263",7.26,"18,875","1,600",0.00,2019-06-29,107,81 ,21,5
Canyon Lake (Mormon Flat Dam),95,"1,657.22","54,766",3.28,"3,086",-289,0.00,2019-06-29,107,81 ,21,5
Saguaro Lake (Stewart Mountain Dam),93,"1,524.83","64,606",4.17,"5,159",-581,0.00,2019-06-29,107,81 ,21,5
Total Salt system,79,,"1,589,932",,"414,355","-2,007",,2019-06-29,107,81 ,21,5
Horseshoe Lake (Horseshoe Dam),11,"1,974.08","12,098",51.92,"97,119",-20,0.00,2019-06-29,107,81 ,21,5
Bartlett Lake (Bartlett Dam),96,"1,795.48","171,190",2.52,"6,996","-1,220",0.00,2019-06-29,107,81 ,21,5
Total Verde system,64,,"183,288",,"104,115","-1,240",,2019-06-29,107,81 ,21,5
Total Reservoir System,77,,"1,773,220",,"518,470","-3,247",,2019-06-29,107,81 ,21,5
Total system year ago,53,,,,,,,2019-06-29,107,81 ,21,5
Roosevelt Lake (Roosevelt Dam),76,"2,131.15","1,243,602",19.85,"387,930",-695,0.00,2019-06-30,107,82 ,18,5
Apache Lake (Horse Mesa Dam),92,"1,906.63","225,978",7.37,"19,160",-285,0.00,2019-06-30,107,82 ,18,5
Canyon Lake (Mormon Flat Dam),94,"1,657.02","54,581",3.48,"3,271",-185,0.00,2019-06-30,107,82 ,18,5
Saguaro Lake (Stewart Mountain Dam),93,"1,524.94","64,743",4.06,"5,022",137,0.00,2019-06-30,107,82 ,18,5
Total Salt system,79,,"1,588,904",,"415,383","-1,028",,2019-06-30,107,82 ,18,5
Horseshoe Lake (Horseshoe Dam),11,"1,974.05","12,068",51.95,"97,149",-30,0.00,2019-06-30,107,82 ,18,5
Bartlett Lake (Bartlett Dam),95,"1,795.07","170,061",2.93,"8,125","-1,129",0.00,2019-06-30,107,82 ,18,5
Total Verde system,63,,"182,129",,"105,274","-1,159",,2019-06-30,107,82 ,18,5
Total Reservoir System,77,,"1,771,033",,"520,657","-2,187",,2019-06-30,107,82 ,18,5
Total system year ago,53,,,,,,,2019-06-30,107,82 ,18,5
Roosevelt Lake (Roosevelt Dam),76,"2,131.07","1,242,119",19.93,"389,413","-1,483",0.00,2019-07-01,107,82 ,21,7
Apache Lake (Horse Mesa Dam),92,"1,906.49","225,614",7.51,"19,524",-364,0.00,2019-07-01,107,82 ,21,7
Canyon Lake (Mormon Flat Dam),95,"1,657.23","54,775",3.27,"3,077",194,0.00,2019-07-01,107,82 ,21,7
Saguaro Lake (Stewart Mountain Dam),93,"1,524.80","64,570",4.20,"5,195",-173,0.00,2019-07-01,107,82 ,21,7
Total Salt system,79,,"1,587,078",,"417,209","-1,826",,2019-07-01,107,82 ,21,7
Horseshoe Lake (Horseshoe Dam),11,"1,974.00","12,017",52.00,"97,200",-51,0.00,2019-07-01,107,82 ,21,7
Bartlett Lake (Bartlett Dam),95,"1,794.63","168,880",3.37,"9,306","-1,181",0.00,2019-07-01,107,82 ,21,7
Total Verde system,63,,"180,897",,"106,506","-1,232",,2019-07-01,107,82 ,21,7
Total Reservoir System,77,,"1,767,975",,"523,715","-3,058",,2019-07-01,107,82 ,21,7
Total system year ago,52,,,,,,,2019-07-01,107,82 ,21,7
Roosevelt Lake (Roosevelt Dam),76,"2,130.93","1,239,574",20.07,"391,958","-2,545",0.00,2019-07-02,107,82 ,29,9
Apache Lake (Horse Mesa Dam),92,"1,906.28","225,101",7.72,"20,037",-513,0.00,2019-07-02,107,82 ,29,9
Canyon Lake (Mormon Flat Dam),96,"1,658.22","55,700",2.28,"2,152",925,0.00,2019-07-02,107,82 ,29,9
Saguaro Lake (Stewart Mountain Dam),94,"1,525.46","65,379",3.54,"4,386",809,0.00,2019-07-02,107,82 ,29,9
Total Salt system,79,,"1,585,754",,"418,533","-1,324",,2019-07-02,107,82 ,29,9
Horseshoe Lake (Horseshoe Dam),11,"1,973.94","11,953",52.06,"97,264",-64,0.00,2019-07-02,107,82 ,29,9
Bartlett Lake (Bartlett Dam),94,"1,794.25","167,841",3.75,"10,345","-1,039",0.00,2019-07-02,107,82 ,29,9
Total Verde system,63,,"179,794",,"107,609","-1,103",,2019-07-02,107,82 ,29,9
Total Reservoir System,77,,"1,765,548",,"526,142","-2,427",,2019-07-02,107,82 ,29,9
Total system year ago,52,,,,,,,2019-07-02,107,82 ,29,9
Roosevelt Lake (Roosevelt Dam),76,"2,130.79","1,237,119",20.21,"394,413","-2,455",0.00,2019-07-03,107,82 ,26,9
Apache Lake (Horse Mesa Dam),92,"1,906.05","224,511",7.95,"20,627",-590,0.00,2019-07-03,107,82 ,26,9
Canyon Lake (Mormon Flat Dam),95,"1,657.53","55,055",2.97,"2,797",-645,0.00,2019-07-03,107,82 ,26,9
Saguaro Lake (Stewart Mountain Dam),96,"1,526.87","67,099",2.13,"2,666","1,720",0.00,2019-07-03,107,82 ,26,9
Total Salt system,79,,"1,583,784",,"420,503","-1,970",,2019-07-03,107,82 ,26,9
Horseshoe Lake (Horseshoe Dam),11,"1,973.68","11,680",52.32,"97,537",-273,0.00,2019-07-03,107,82 ,26,9
Bartlett Lake (Bartlett Dam),94,"1,793.92","166,942",4.08,"11,244",-899,0.00,2019-07-03,107,82 ,26,9
Total Verde system,62,,"178,622",,"108,781","-1,172",,2019-07-03,107,82 ,26,9
Total Reservoir System,77,,"1,762,406",,"529,284","-3,142",,2019-07-03,107,82 ,26,9
Total system year ago,52,,,,,,,2019-07-03,107,82 ,26,9
Roosevelt Lake (Roosevelt Dam),76,"2,130.62","1,234,079",20.38,"397,453","-3,040",0.00,2019-07-04,107,83 ,30,6
Apache Lake (Horse Mesa Dam),92,"1,906.78","226,360",7.22,"18,778","1,849",0.00,2019-07-04,107,83 ,30,6
Canyon Lake (Mormon Flat Dam),95,"1,657.54","55,064",2.96,"2,788",9,0.00,2019-07-04,107,83 ,30,6
Saguaro Lake (Stewart Mountain Dam),95,"1,526.43","66,562",2.57,"3,203",-537,0.00,2019-07-04,107,83 ,30,6
Total Salt system,79,,"1,582,065",,"422,222","-1,719",,2019-07-04,107,83 ,30,6
Horseshoe Lake (Horseshoe Dam),10,"1,973.36","11,353",52.64,"97,864",-327,0.00,2019-07-04,107,83 ,30,6
Bartlett Lake (Bartlett Dam),93,"1,793.63","166,180",4.37,"12,006",-762,0.00,2019-07-04,107,83 ,30,6
Total Verde system,62,,"177,533",,"109,870","-1,089",,2019-07-04,107,83 ,30,6
Total Reservoir System,77,,"1,759,598",,"532,092","-2,808",,2019-07-04,107,83 ,30,6
Total system year ago,52,,,,,,,2019-07-04,107,83 ,30,6
Roosevelt Lake (Roosevelt Dam),75,"2,130.46","1,231,238",20.54,"400,294","-2,841",0.00,2019-07-05,107,83 ,25,7
Apache Lake (Horse Mesa Dam),93,"1,907.39","227,928",6.61,"17,210","1,568",0.00,2019-07-05,107,83 ,25,7
Canyon Lake (Mormon Flat Dam),96,"1,658.13","55,616",2.37,"2,236",552,0.00,2019-07-05,107,83 ,25,7
Saguaro Lake (Stewart Mountain Dam),93,"1,525.00","64,816",4.00,"4,949","-1,746",0.00,2019-07-05,107,83 ,25,7
Total Salt system,79,,"1,579,598",,"424,689","-2,467",,2019-07-05,107,83 ,25,7
Horseshoe Lake (Horseshoe Dam),10,"1,973.03","11,024",52.97,"98,193",-329,0.00,2019-07-05,107,83 ,25,7
Bartlett Lake (Bartlett Dam),93,"1,793.27","165,206",4.73,"12,980",-974,0.00,2019-07-05,107,83 ,25,7
Total Verde system,61,,"176,230",,"111,173","-1,303",,2019-07-05,107,83 ,25,7
Total Reservoir System,77,,"1,755,828",,"535,862","-3,770",,2019-07-05,107,83 ,25,7
Total system year ago,52,,,,,,,2019-07-05,107,83 ,25,7
Roosevelt Lake (Roosevelt Dam),75,"2,130.37","1,229,539",20.63,"401,993","-1,699",0.00,2019-07-06,-,- ,-,-
Apache Lake (Horse Mesa Dam),93,"1,907.63","228,521",6.37,"16,617",593,0.00,2019-07-06,-,- ,-,-
Canyon Lake (Mormon Flat Dam),95,"1,657.45","54,980",3.05,"2,872",-636,0.00,2019-07-06,-,- ,-,-
Saguaro Lake (Stewart Mountain Dam),93,"1,525.10","64,943",3.90,"4,822",127,0.00,2019-07-06,-,- ,-,-
Total Salt system,79,,"1,577,983",,"426,304","-1,615",,2019-07-06,-,- ,-,-
Horseshoe Lake (Horseshoe Dam),10,"1,972.68","10,668",53.32,"98,549",-356,0.00,2019-07-06,-,- ,-,-
Bartlett Lake (Bartlett Dam),92,"1,793.01","164,504",4.99,"13,682",-702,0.00,2019-07-06,-,- ,-,-
Total Verde system,61,,"175,172",,"112,231","-1,058",,2019-07-06,-,- ,-,-
Total Reservoir System,77,,"1,753,155",,"538,535","-2,673",,2019-07-06,-,- ,-,-
Total system year ago,52,,,,,,,2019-07-06,-,- ,-,-
Roosevelt Lake (Roosevelt Dam),75,"2,130.15","1,225,616",20.85,"405,916","-3,923",0.00,2019-07-07,107,83 ,27,7
Apache Lake (Horse Mesa Dam),94,"1,908.11","229,752",5.89,"15,386","1,231",0.00,2019-07-07,107,83 ,27,7
Canyon Lake (Mormon Flat Dam),95,"1,657.29","54,831",3.21,"3,021",-149,0.00,2019-07-07,107,83 ,27,7
Saguaro Lake (Stewart Mountain Dam),93,"1,524.81","64,588",4.19,"5,177",-355,0.00,2019-07-07,107,83 ,27,7
Total Salt system,79,,"1,574,787",,"429,500","-3,196",,2019-07-07,107,83 ,27,7
Horseshoe Lake (Horseshoe Dam),9,"1,972.33","10,321",53.67,"98,896",-347,0.00,2019-07-07,107,83 ,27,7
Bartlett Lake (Bartlett Dam),92,"1,792.73","163,776",5.27,"14,410",-728,0.00,2019-07-07,107,83 ,27,7
Total Verde system,61,,"174,097",,"113,306","-1,075",,2019-07-07,107,83 ,27,7
Total Reservoir System,76,,"1,748,884",,"542,806","-4,271",,2019-07-07,107,83 ,27,7
Total system year ago,52,,,,,,,2019-07-07,107,83 ,27,7
Roosevelt Lake (Roosevelt Dam),75,"2,130.05","1,223,829",20.95,"407,703","-1,787",0.00,2019-07-08,107,83 ,28,5
Apache Lake (Horse Mesa Dam),94,"1,908.36","230,406",5.64,"14,732",654,0.00,2019-07-08,107,83 ,28,5
Canyon Lake (Mormon Flat Dam),94,"1,657.09","54,645",3.41,"3,207",-186,0.00,2019-07-08,107,83 ,28,5
Saguaro Lake (Stewart Mountain Dam),93,"1,524.77","64,543",4.23,"5,222",-45,0.00,2019-07-08,107,83 ,28,5
Total Salt system,79,,"1,573,423",,"430,864","-1,364",,2019-07-08,107,83 ,28,5
Horseshoe Lake (Horseshoe Dam),9,"1,971.95","9,954",54.05,"99,263",-367,0.00,2019-07-08,107,83 ,28,5
Bartlett Lake (Bartlett Dam),92,"1,792.52","163,213",5.48,"14,973",-563,0.00,2019-07-08,107,83 ,28,5
Total Verde system,60,,"173,167",,"114,236",-930,,2019-07-08,107,83 ,28,5
Total Reservoir System,76,,"1,746,590",,"545,100","-2,294",,2019-07-08,107,83 ,28,5
Total system year ago,51,,,,,,,2019-07-08,107,83 ,28,5
Roosevelt Lake (Roosevelt Dam),75,"2,130.03","1,223,461",20.97,"408,071",-368,0.00,2019-07-09,107,83 ,18,3
Apache Lake (Horse Mesa Dam),94,"1,908.14","229,829",5.86,"15,309",-577,0.00,2019-07-09,107,83 ,18,3
Canyon Lake (Mormon Flat Dam),94,"1,656.96","54,525",3.54,"3,327",-120,0.00,2019-07-09,107,83 ,18,3
Saguaro Lake (Stewart Mountain Dam),91,"1,523.99","63,606",5.01,"6,159",-937,0.00,2019-07-09,107,83 ,18,3
Total Salt system,78,,"1,571,421",,"432,866","-2,002",,2019-07-09,107,83 ,18,3
Horseshoe Lake (Horseshoe Dam),8,"1,970.77","8,834",55.23,"100,383","-1,120",0.00,2019-07-09,107,83 ,18,3
Bartlett Lake (Bartlett Dam),91,"1,792.39","162,869",5.61,"15,317",-344,0.00,2019-07-09,107,83 ,18,3
Total Verde system,60,,"171,703",,"115,700","-1,464",,2019-07-09,107,83 ,18,3
Total Reservoir System,76,,"1,743,124",,"548,566","-3,466",,2019-07-09,107,83 ,18,3
Total system year ago,51,,,,,,,2019-07-09,107,83 ,18,3
Roosevelt Lake (Roosevelt Dam),75,"2,130.03","1,223,534",20.97,"407,998",73,0.00,2019-07-10,107,83 ,17,4
Apache Lake (Horse Mesa Dam),92,"1,906.66","226,054",7.34,"19,084","-3,775",0.00,2019-07-10,107,83 ,17,4
Canyon Lake (Mormon Flat Dam),95,"1,657.48","55,008",3.02,"2,844",483,0.00,2019-07-10,107,83 ,17,4
Saguaro Lake (Stewart Mountain Dam),93,"1,525.20","65,060",3.80,"4,705","1,454",0.00,2019-07-10,107,83 ,17,4
Total Salt system,78,,"1,569,656",,"434,631","-1,765",,2019-07-10,107,83 ,17,4
Horseshoe Lake (Horseshoe Dam),7,"1,969.36","7,564",56.64,"101,653","-1,270",0.00,2019-07-10,107,83 ,17,4
Bartlett Lake (Bartlett Dam),91,"1,792.45","163,028",5.55,"15,158",159,0.00,2019-07-10,107,83 ,17,4
Total Verde system,59,,"170,592",,"116,811","-1,111",,2019-07-10,107,83 ,17,4
Total Reservoir System,76,,"1,740,248",,"551,442","-2,876",,2019-07-10,107,83 ,17,4
Total system year ago,51,,,,,,,2019-07-10,107,83 ,17,4
Roosevelt Lake (Roosevelt Dam),75,"2,129.96","1,222,212",21.04,"409,320","-1,322",0.00,2019-07-11,107,84 ,20,8
Apache Lake (Horse Mesa Dam),92,"1,906.90","226,666",7.10,"18,472",612,0.00,2019-07-11,107,84 ,20,8
Canyon Lake (Mormon Flat Dam),96,"1,657.95","55,448",2.55,"2,404",440,0.00,2019-07-11,107,84 ,20,8
Saguaro Lake (Stewart Mountain Dam),92,"1,524.32","63,991",4.68,"5,774","-1,069",0.00,2019-07-11,107,84 ,20,8
Total Salt system,78,,"1,568,317",,"435,970","-1,339",,2019-07-11,107,84 ,20,8
Horseshoe Lake (Horseshoe Dam),6,"1,967.87","6,341",58.13,"102,876","-1,223",0.00,2019-07-11,107,84 ,20,8
Bartlett Lake (Bartlett Dam),92,"1,792.55","163,292",5.45,"14,894",264,0.00,2019-07-11,107,84 ,20,8
Total Verde system,59,,"169,633",,"117,770",-959,,2019-07-11,107,84 ,20,8
Total Reservoir System,76,,"1,737,950",,"553,740","-2,298",,2019-07-11,107,84 ,20,8
Total system year ago,51,,,,,,,2019-07-11,107,84 ,20,8
Roosevelt Lake (Roosevelt Dam),75,"2,129.82","1,219,726",21.18,"411,806","-2,486",0.00,2019-07-12,107,84 ,20,8
Apache Lake (Horse Mesa Dam),92,"1,906.91","226,683",7.09,"18,455",17,0.00,2019-07-12,107,84 ,20,8
Canyon Lake (Mormon Flat Dam),95,"1,657.48","55,008",3.02,"2,844",-440,0.00,2019-07-12,107,84 ,20,8
Saguaro Lake (Stewart Mountain Dam),93,"1,524.87","64,661",4.13,"5,104",670,0.00,2019-07-12,107,84 ,20,8
Total Salt system,78,,"1,566,078",,"438,209","-2,239",,2019-07-12,107,84 ,20,8
Horseshoe Lake (Horseshoe Dam),5,"1,965.92","4,956",60.08,"104,261","-1,385",0.00,2019-07-12,107,84 ,20,8
Bartlett Lake (Bartlett Dam),92,"1,792.67","163,610",5.33,"14,576",318,0.00,2019-07-12,107,84 ,20,8
Total Verde system,59,,"168,566",,"118,837","-1,067",,2019-07-12,107,84 ,20,8
Total Reservoir System,76,,"1,734,644",,"557,046","-3,306",,2019-07-12,107,84 ,20,8
Total system year ago,51,,,,,,,2019-07-12,107,84 ,20,8
Roosevelt Lake (Roosevelt Dam),75,"2,129.71","1,217,830",21.29,"413,702","-1,896",0.05,2019-07-13,107,84 ,23,11
Apache Lake (Horse Mesa Dam),92,"1,906.31","225,157",7.69,"19,981","-1,526",0.00,2019-07-13,107,84 ,23,11
Canyon Lake (Mormon Flat Dam),94,"1,657.08","54,636",3.42,"3,216",-372,0.00,2019-07-13,107,84 ,23,11
Saguaro Lake (Stewart Mountain Dam),96,"1,526.63","66,812",2.37,"2,953","2,151",0.00,2019-07-13,107,84 ,23,11
Total Salt system,78,,"1,564,435",,"439,852","-1,643",,2019-07-13,107,84 ,23,11
Horseshoe Lake (Horseshoe Dam),3,"1,963.29","3,391",62.71,"105,826","-1,565",0.00,2019-07-13,107,84 ,23,11
Bartlett Lake (Bartlett Dam),92,"1,792.83","164,035",5.17,"14,151",425,0.00,2019-07-13,107,84 ,23,11
Total Verde system,58,,"167,426",,"119,977","-1,140",,2019-07-13,107,84 ,23,11
Total Reservoir System,76,,"1,731,861",,"559,829","-2,783",,2019-07-13,107,84 ,23,11
Total system year ago,51,,,,,,,2019-07-13,107,84 ,23,11
Roosevelt Lake (Roosevelt Dam),75,"2,129.60","1,215,777",21.40,"415,755","-2,053",0.00,2019-07-14,106,84 ,29,14
Apache Lake (Horse Mesa Dam),92,"1,906.73","226,245",7.27,"18,893","1,088",0.00,2019-07-14,106,84 ,29,14
Canyon Lake (Mormon Flat Dam),96,"1,658.26","55,737",2.24,"2,115","1,101",0.00,2019-07-14,106,84 ,29,14
Saguaro Lake (Stewart Mountain Dam),93,"1,525.21","65,070",3.79,"4,695","-1,742",0.00,2019-07-14,106,84 ,29,14
Total Salt system,78,,"1,562,829",,"441,458","-1,606",,2019-07-14,106,84 ,29,14
Horseshoe Lake (Horseshoe Dam),2,"1,959.72","1,893",66.28,"107,324","-1,498",0.00,2019-07-14,106,84 ,29,14
Bartlett Lake (Bartlett Dam),92,"1,792.95","164,355",5.05,"13,831",320,0.00,2019-07-14,106,84 ,29,14
Total Verde system,58,,"166,248",,"121,155","-1,178",,2019-07-14,106,84 ,29,14
Total Reservoir System,75,,"1,729,077",,"562,613","-2,784",,2019-07-14,106,84 ,29,14
Total system year ago,51,,,,,,,2019-07-14,106,84 ,29,14
Roosevelt Lake (Roosevelt Dam),74,"2,129.49","1,213,991",21.51,"417,541","-1,786",0.00,2019-07-15,106,84 ,33,16
Apache Lake (Horse Mesa Dam),92,"1,906.45","225,520",7.55,"19,618",-725,0.00,2019-07-15,106,84 ,33,16
Canyon Lake (Mormon Flat Dam),96,"1,658.01","55,504",2.49,"2,348",-233,0.00,2019-07-15,106,84 ,33,16
Saguaro Lake (Stewart Mountain Dam),95,"1,526.03","66,076",2.97,"3,689","1,006",0.00,2019-07-15,106,84 ,33,16
Total Salt system,78,,"1,561,091",,"443,196","-1,738",,2019-07-15,106,84 ,33,16
Horseshoe Lake (Horseshoe Dam),0,"1,950.88",51,75.12,"109,166","-1,842",0.00,2019-07-15,106,84 ,33,16
Bartlett Lake (Bartlett Dam),92,"1,793.09","164,727",4.91,"13,459",372,0.00,2019-07-15,106,84 ,33,16
Total Verde system,57,,"164,778",,"122,625","-1,470",,2019-07-15,106,84 ,33,16
Total Reservoir System,75,,"1,725,869",,"565,821","-3,208",,2019-07-15,106,84 ,33,16
Total system year ago,51,,,,,,,2019-07-15,106,84 ,33,16
Roosevelt Lake (Roosevelt Dam),74,"2,129.31","1,210,698",21.69,"420,834","-3,293",0.00,2019-07-16,106,84 ,41,13
Apache Lake (Horse Mesa Dam),92,"1,906.84","226,513",7.16,"18,625",993,0.00,2019-07-16,106,84 ,41,13
Canyon Lake (Mormon Flat Dam),96,"1,658.32","55,794",2.18,"2,058",290,0.00,2019-07-16,106,84 ,41,13
Saguaro Lake (Stewart Mountain Dam),94,"1,525.79","65,782",3.21,"3,983",-294,0.00,2019-07-16,106,84 ,41,13
Total Salt system,78,,"1,558,787",,"445,500","-2,304",,2019-07-16,106,84 ,41,13
Horseshoe Lake (Horseshoe Dam),0,"1,948.20",0,77.80,"109,217",-51,0.00,2019-07-16,106,84 ,41,13
Bartlett Lake (Bartlett Dam),92,"1,792.88","164,168",5.12,"14,018",-559,0.00,2019-07-16,106,84 ,41,13
Total Verde system,57,,"164,168",,"123,235",-610,,2019-07-16,106,84 ,41,13
Total Reservoir System,75,,"1,722,955",,"568,735","-2,914",,2019-07-16,106,84 ,41,13
Total system year ago,51,,,,,,,2019-07-16,106,84 ,41,13
Roosevelt Lake (Roosevelt Dam),74,"2,129.18","1,208,461",21.82,"423,071","-2,237",0.00,2019-07-17,106,84 ,32,7
Apache Lake (Horse Mesa Dam),94,"1,907.90","229,213",6.10,"15,925","2,700",0.00,2019-07-17,106,84 ,32,7
Canyon Lake (Mormon Flat Dam),95,"1,657.59","55,111",2.91,"2,741",-683,0.00,2019-07-17,106,84 ,32,7
Saguaro Lake (Stewart Mountain Dam),92,"1,524.74","64,507",4.26,"5,258","-1,275",0.00,2019-07-17,106,84 ,32,7
Total Salt system,78,,"1,557,292",,"446,995","-1,495",,2019-07-17,106,84 ,32,7
Horseshoe Lake (Horseshoe Dam),0,"1,948.73",0,77.27,"109,217",0,0.00,2019-07-17,106,84 ,32,7
Bartlett Lake (Bartlett Dam),92,"1,792.55","163,292",5.45,"14,894",-876,0.00,2019-07-17,106,84 ,32,7
Total Verde system,57,,"163,292",,"124,111",-876,,2019-07-17,106,84 ,32,7
Total Reservoir System,75,,"1,720,584",,"571,106","-2,371",,2019-07-17,106,84 ,32,7
Total system year ago,51,,,,,,,2019-07-17,106,84 ,32,7
Roosevelt Lake (Roosevelt Dam),74,"2,129.12","1,207,317",21.88,"424,215","-1,144",0.00,2019-07-18,106,84 ,34,21
Apache Lake (Horse Mesa Dam),94,"1,908.14","229,849",5.86,"15,289",636,0.00,2019-07-18,106,84 ,34,21
Canyon Lake (Mormon Flat Dam),95,"1,657.20","54,747",3.30,"3,105",-364,0.00,2019-07-18,106,84 ,34,21
Saguaro Lake (Stewart Mountain Dam),92,"1,524.43","64,127",4.57,"5,638",-380,0.00,2019-07-18,106,84 ,34,21
Total Salt system,78,,"1,556,040",,"448,247","-1,252",,2019-07-18,106,84 ,34,21
Horseshoe Lake (Horseshoe Dam),0,"1,948.75",0,77.25,"109,217",0,0.00,2019-07-18,106,84 ,34,21
Bartlett Lake (Bartlett Dam),91,"1,792.41","162,922",5.59,"15,264",-370,0.00,2019-07-18,106,84 ,34,21
